segStart,segEnd
1,300
301,350
351,400
401,450
451,700
701,950
951,1100
1101,1200
1201,1250
1251,1400
1401,1450
1451,1650
1651,1950
1951,2200
2201,2300
2301,3200
3201,3250
3251,3450
3451,3750
3751,4300
4301,4400
4401,4450
4451,4900
4901,5335
